순위,제작단계,엔진,파일명,설명,추천 검색어,규격,완료
23,2차 디테일,E5,sfx_skewer_turn,닭꼬치 한 개를 집어 반대쪽으로 돌리는 소리,wooden skewer turning grill sound,0.15~0.35초,미완료
24,2차 디테일,E7·E8·E11,sfx_pour_thin,간장·고추기름·물·육수처럼 묽은 액체 흐름,thin liquid pouring into bowl,1~2초,미완료
25,2차 디테일,E7,sfx_pour_syrup,올리고당처럼 점성이 있는 시럽 흐름,thick syrup pouring sound,1~2초,미완료
26,2차 디테일,E7,sfx_pour_thick,고추장·굴소스처럼 걸쭉한 소스가 떨어지는 소리,thick sauce squeeze pour sound,1~2초,미완료
27,2차 디테일,E8,sfx_ingredient_dry_dump,부침가루 같은 마른 가루를 볼에 붓는 소리,flour pouring into bowl sound,0.4~0.8초,미완료
28,2차 디테일,E8·E11,sfx_ingredient_wet_drop,김치·떡·우동·무·어묵·멸치를 볼이나 냄비에 넣는 소리,food dropping into bowl sound,0.15~0.4초,미완료
29,2차 디테일,E8,sfx_skewer_pierce,닭과 파를 나무 꼬치에 꽂는 작은 관통음,food piercing wooden skewer sound,0.1~0.25초,미완료
30,2차 디테일,E10,sfx_anchovy_tension,멸치 머리를 좌우로 흔들 때 접합부가 당겨지는 소리,small fish bone tension sound,0.1~0.25초,미완료
31,2차 디테일,E10,sfx_anchovy_tear,멸치 머리가 몸통에서 뜯어지는 순간,small fish tearing sound,0.15~0.35초,미완료
32,2차 디테일,E10,sfx_anchovy_head_land,분리된 멸치 머리가 도마에 작게 떨어지는 소리,small object drop wooden board,0.08~0.2초,미완료
33,2차 디테일,E11,sfx_plate_place,두부와 볶은 김치를 접시에 부드럽게 내려놓는 소리,soft food placed on ceramic plate,0.15~0.35초,미완료
34,3차 시스템,결과,sfx_result_perfect,PERFECT 결과에만 사용하는 맑고 만족스러운 성공음,perfect result sparkle chime,0.6~1초,미완료
35,3차 시스템,결과,sfx_result_good,GOOD 결과에 사용하는 짧고 따뜻한 2음,casual game good result chime,0.4~0.7초,미완료
36,3차 시스템,제한시간,sfx_timer_warning,중요한 제한시간이 얼마 남지 않았을 때의 시계 경고,kitchen timer warning tick,0.05~0.15초,미완료
37,3차 시스템,서빙,sfx_food_serve,완성 접시를 손님 앞에 내려놓는 소리,ceramic plate serve table sound,0.2~0.5초,미완료
38,3차 시스템,UI,sfx_ui_click,메뉴·설정에만 사용하는 작고 부드러운 클릭,soft wooden UI click sound,0.05~0.1초,미완료
